"object","path","type","size"
"f0dc68db66fb0e7c1c7ee445e6eb92380c2e1b","C:\Work_dvz\PythonDeep\Seminar8\.git\objects\c3","file","168"
".\.git\objects\info","C:\Work_dvz\PythonDeep\Seminar8\.git\objects\info","dir","0"
".\.git\objects\pack","C:\Work_dvz\PythonDeep\Seminar8\.git\objects\pack","dir","0"
".\.git\refs","C:\Work_dvz\PythonDeep\Seminar8\.git\refs","dir","82"
".\.git\refs\heads","C:\Work_dvz\PythonDeep\Seminar8\.git\refs\heads","dir","41"
".\.git\refs\remotes","C:\Work_dvz\PythonDeep\Seminar8\.git\refs\remotes","dir","41"
".\.git\refs\remotes\origin","C:\Work_dvz\PythonDeep\Seminar8\.git\refs\remotes\origin","dir","41"
".\.git\refs\tags","C:\Work_dvz\PythonDeep\Seminar8\.git\refs\tags","dir","0"
".\.idea","C:\Work_dvz\PythonDeep\Seminar8\.idea","dir","3335"
"misc.xml","C:\Work_dvz\PythonDeep\Seminar8\.idea","file","189"
"modules.xml","C:\Work_dvz\PythonDeep\Seminar8\.idea","file","275"
"Seminar8.iml","C:\Work_dvz\PythonDeep\Seminar8\.idea","file","291"
"vcs.xml","C:\Work_dvz\PythonDeep\Seminar8\.idea","file","172"
"workspace.xml","C:\Work_dvz\PythonDeep\Seminar8\.idea","file","2234"
".\.idea\inspectionProfiles","C:\Work_dvz\PythonDeep\Seminar8\.idea\inspectionProfiles","dir","174"
"profiles_settings.xml","C:\Work_dvz\PythonDeep\Seminar8\.idea\inspectionProfiles","file","174"
".\new_dir","C:\Work_dvz\PythonDeep\Seminar8\new_dir","dir","1"
"file_1.txt","C:\Work_dvz\PythonDeep\Seminar8\new_dir","file","1"
".\new_dir2","C:\Work_dvz\PythonDeep\Seminar8\new_dir2","dir","2"
"file_2.txt","C:\Work_dvz\PythonDeep\Seminar8\new_dir2","file","1"
".\new_dir2\sub_dir","C:\Work_dvz\PythonDeep\Seminar8\new_dir2\sub_dir","dir","1"
"sub_file2.txt.txt","C:\Work_dvz\PythonDeep\Seminar8\new_dir2\sub_dir","file","1"
